id,question,A,B,C,D,answer
17,关于左值引用，下列用法或叙述不正确的是____,引用可以先定义，再赋值；,引用可以作为函数参数；,函数可以返回引用；,引用是另一个有名字变量的别名。,A
18,"现今的软件或是操作系统往往都有32位和64位的不同的版本，主要的区别就是32位的应用程序中，使用32个二进制位（即4字节）来表示内存地址，64位软件则是用64个二进制位表示内存地址。于是，当我们在将一个程序编译为64位的程序时，有下列语句 cout<<sizeof(int)<<""""<<sizeof(int*)<<""""; cout<<sizeof(double)<<""""<<sizeof(double*)<<endl; 其输出会是____;",4 4 8 8,4 4 8 4,4 8 8 8,4 8 4 8,C
19,下述哪一条是顺序存储结构的优点？____,存储密度大,插入运算方便,删除运算方便,可方便地用于各种逻辑结构的存储表示,A
35,"—组关键字序列A(12,14,3,16,8,7,10,17,5,11,9,6,13,15,4),为排成递增序利用堆排序的方法建立的初始的堆为____","（ 3， 4， 5, 8， 9， 7, 6, 17， 16， 14， 11， 12， 13， 15， 10 )","( 3， 5, 4, 8, 9， 7, 6， 17， 16， 14, 11， 12, 13， 15， 10 )","( 17, 16, 15, 14, 11, 13, 10, 12, 5, 8, 9, 6, 7， 3， 4 )","( 17, 16, 14, 15, 11, 13, 10, 12, 5, 8, 9, 6, 7, 3, 4 )",D
36,若一个线性表中最常用的操作是取第1个元素和我第1个元素的前趋元素，则采用____存储方式最节省时间。,顺序表,单链表,双链表,单循环链表,A
37,"已知全集为实数集$\mathbb{R}$，集合$A=\{x|x^{2}-2x<0\},B=\left\{x|l og_{2}x>0\right\}$，则$\left(\complement_R A \right) \cap B$的值为____","$\left(-\infty,0\right]\cup(1,+\infty)$","$\left(0,1\right]$","$\left[2,+\infty\right)$",$\emptyset$,C
52,某一电子集成块有三个元件a，b，c并联构成，三个元件是否有故障相互独立．已知至少1个元件正常工作，该集成块就能正常运行．若每个元件能正常工作的概率均为$\frac{4}{5}$则在该集成块能够正常工作的情况下，有且仅有一个元件出现故障的概率为____,$\frac{12}{31}$,$\frac{48}{125}$,$\frac{16}{25}$,$\frac{16}{125}$,A
53,"已知条件$p:\left|x+1\right|>2$，条件$q:x>a$,且$\neg p$是$\neg q$的充分不必要条件，则实数a的取值范围是____",$a\geq1$,$a\leq1$,$a\geq-1$,$a\leq -3$,A
54,"已知函数$f(x)$是定义在$\mathbb{R}$上的偶函数，且在$\left(0,+\infty\right)$上单调递增，则____",$f(-3)<f(-\log_{3}13)<f(2^{0.6})$,$f(-3)<f(2^{0.6})<f(-\log_{3}13)$,$f(2^{0.6})< f(-\log_{3}13) <f(-3)$,$f(2^{0.6})<f(-3)< f(-\log_{3}13) $,C
65,以牟利为目的，盗接他人通信线路、复制他人电信码号或者明知是盗接、复制的电信设备、设施而使用的，应构成____。,非法经营罪,侵占罪,盗窃罪,破坏公用电信设施罪,C
66,下列不属于告诉才处理的情形是____。,侵占罪,侮辱罪未严重危害社会秩序和国家利益的,虐待罪致使被害人重伤、死亡的,暴力干涉婚姻自由罪，未致使被害人死亡的,C
67,甲因盗窃罪案发被捕，在侦查人员对其审讯期间，甲交代了自己与乙在交通工具上抢劫3万元的犯罪事实，并协助侦查机关将乙抓获。对甲的抢劫罪____。,可以从轻或者减轻处罚,可以减轻或者免除处罚,可以免除处罚,应当减轻或者免除处罚,D
80,音位是____。,最小的语音语义结合体,一个语音系统中能区别意义的最小语音单位,语言中最小的能区别意义的语音特征单位,语言中有区别性特征的最小语音单位,B
81,下列语言中，属于印欧语系拉丁语族的语言是____。,英语,俄语,德语,法语,D
82,《史记·高祖本纪》：“今则来，沛公恐不得有此。”句中“则”的用法是____。,表示承接,表示转折,表示假设,表示因果,C
96,《本草纲目》的作者是____李时珍。,南宋人,明朝人,元朝人,清朝人,B
97,“我、你、他”是____。,指示代词,疑问代词,人称代词,名词,C
98,关于词的本义和基本义的关系，下列表述正确的是____。,完全不一致,完全一致,本义比基本义更常用,基本义比本义更常用,D
113,某商场销售甲、乙两种服装，已知乙服装每件的成本比甲服装贵50元，甲、乙服装均按成本价提高40％ 作为标价出售.一段时间后，甲服装卖出了350件，乙服装卖出了200件，销售金额为 129500元，若用方程$350\times1.4x+200\times1.4\times\left(x+50\right)=129500$ 表示其中的数量关系，则式子中 所表示的量是____,甲服装的标价,乙服装的标价,甲服装的成本价,乙服装的成本价,C
114,下列说法正确的是____(1)抛一枚硬币，正面一定朝上； (2)掷一颗骰子，点数一定不大于6；(3)为了解一种灯泡的使用寿命，宜采用普查的方法；(4)“明天的降水概率为80%”，表示明天会有80％的地方下雨．,1个,2个,3个,4个,A
115,我国古代数学著作《孙子算经》中有一道题：“今有木，不知长短，引绳度之，余绳四尺五，屈绳量之，不足一尺，问木长几何？”大致意思是：“用一根绳子去量一根木条，绳子剩余4.5尺，将绳子对折再量木条，木条剩余1尺，问木条长多少尺？”设绳子长x尺，木条长y尺，则根据题意所列方程组正确的是____,"$\begin{cases}x-y=4.5,\\ \dfrac{1}{2}x-y=1\end{cases}$","$\begin{cases}x-y=4.5,\\ y-\dfrac{1}{2}x=1\end{cases}$","$\left\{\begin{matrix}x+y=4.5,\\ y-\dfrac{1}{2}x=1\end{matrix}\right.$","$\left\{\begin{matrix}x-y=4.5,\\ x-\frac{1}{2}y=1\end{matrix}\right.$",B
127,下列有关消防水泵接合器安装说法中，错误的是____。,墙壁水泵接合器安装高度距地面宜为1.1m,组装时消防水泵接合器的安装，应按接口、本体、接连管、止回阀、安全阀、放空管、控制阀的顺序进行,止回阀的安装方向应使消防用水能从消防水泵接合器进入系统,消防水泵接合器接口距离室外消火栓或消防水池的距离宜为15～40m,A
128,某应急避难场所安装消防应急照明和疏散指示系统等消防设施，对于面积大于____的防火分区应单独设置应急照明配电箱或应急照明分配电装置。,1000m^2,2000m^2,2500m^2,3000m^2,B
129,某消防设施检测机构对建筑内火灾自动报警系统进行检测时，对手动火灾报警按钮进行检查。根据现行国家消防技术标准，关于手动火灾报警按钮安装的做法，下列选项中不符合规范要求的是____。,墙上手动火灾报警按钮的底边距离楼面高度为1.5m,手动火灾报警按钮的连接导线的余量为150mm,墙上手动火灾报警按钮的底边距离楼面高度为1.3m,手动火灾报警按钮的连接导线的余量为100mm,D
150,火灾自动报警系统可燃气体探测器，撤去可燃气体，探测器应在____内恢复到正常监视状态。,60s,80s,100s,120s,A
151,消防控制室实行每日24h专人值班制度，每班不少于____，值班人员持有规定的消防专业技能鉴定证书。,1人,2人,3人,4人,B
152,中国实行可持续发展的核心是：____,发展是关键,经济增长为主,人民生活水平提高,自然资源合理利用B.季节性特点,A
